Job Title,Max_Salary,jobsatifaction
"""ORACLE DBA""",400000,3.8
".NET Developer, Python",468000,3.9
.NET/Android Developer,100000,2.6
AEM Front End Developer - Intern,108000,3.5
ASAP Software Development Engineer,1138368,4.6
AVP-Java Developer,3000000,3.6
Ace - Android Development,1000000,4.6
Advanced Database Administrator,1800000,3.3
Advanced Python Developer,528000,3.8
Amazon Software Development Engineer,2100000,3.8
Amazon Software Development Engineer - Intern,800000,3.8
Amazon Software Development Engineer I,1300000,3.8
Amazon Software Development Engineer II,2800000,3.8
Amazon Software Development Engineer In Test,204000,3.8
Android,1000000,3.1
Android & Flutter Developer - Intern,456000,5.0
Android &amp; Flutter Developer,372000,3.2
Android - Intern,528000,3.0
Android App Developer,2000000,1.0
Android App Developer - Intern,588000,4.0
Android App Development,228000,3.0
Android Applications Developer,1300000,1.4
Android Applications Developer - Contractor,700000,3.7
Android Applications Developer - Intern,360000,3.7
Android Applications Develpoers,200000,4.1
Android Architect,3200000,3.7
Android Associate Trainee,200000,2.7
Android Develoiper,700000,4.0
Android Developer,7100000,1.0
Android Developer - Contractor,2000000,2.4
Android Developer - Intern,2200000,1.5
Android Developer Contractor,2021184,1.0
Android Developer Trainee,200000,3.6
Android Developer/Software Engineer,288000,4.1
Android Development,600000,3.0
Android Development - Intern,500000,1.0
Android Dvelopere,252000,2.8
Android Engineer,2900000,2.4
Android Engineer - Intern,348000,3.1
Android Framework Developer,800000,3.7
Android Framework Engineer,1500000,4.3
Android Ionic Developer,200000,4.0
Android Lead,1800000,3.6
Android Lead Developer,1500000,4.0
Android Mobile Developer,312000,4.2
Android Platform Developer - Intern,324000,4.3
Android Programmer,624000,4.5
Android Quality Engineer,960000,3.4
Android Software Developer,1300000,2.2
Android Software Developer - Intern,1104000,3.0
Android Software Engineer,3000000,2.3
Android Team Lead,3300000,4.0
Android Team Leader,3600000,3.6
Android Tech Lead,2500000,3.8
Android Technical Lead,2000000,3.8
Android Test Engineer,200000,3.9
Android Testing,200000,3.0
Android Trainee,240000,1.8
Android Trainee - Intern,168000,4.3
Android Trainee Contractor,72000,3.6
Android and Flutter Developer,700000,4.9
Android/IOS Developer,500000,3.8
Angular Front End Developer,700000,3.95
Apple Ios Development,216000,3.5
Applications Database Administrator,900000,3.8
Applications Developer/Python Developer,192000,4.2
Applications Development Associate (ASE Associate Software Engineer ),384000,4.1
Applications/Software Development/Support Or Engineer,2400000,2.6
As A Python Developer,400000,3.9
Assistant Manager Backend,672000,3.8
Associate Android Developer,264000,3.7
Associate Android Engineer,800000,4.6
Associate Backend Developer,400000,4.2
Associate Database Administrator,400000,3.5
Associate Database Engineer,1400000,3.6
Associate Developer - IOS,1100000,3.9
Associate Front End Developer,1900000,4.0
Associate Front End Engineer,1000000,4.0
Associate IOS Developer,216000,3.9
Associate Java Developer,700000,1.0
"Associate Member of Technical Staff (Software Development Engineer), L3",300000,4.0
Associate Oracle Database Administrator,1200000,3.4
Associate Professional Test Engineer,400000,3.5
Associate Python Developer,600000,4.2
Associate Software Development Engineer,1300000,3.1
Associate Software Development Engineer - II,1200000,3.9
Associate Software Development Engineer - Intern,444000,3.5
Associate Software Development Engineer I,100000,3.9
Associate Software Development Engineer In Test,800000,3.6
Associate Software Development Engineer-2,1200000,3.9
Associate Test Engineer,900000,3.6
Associate Web Developer,300000,3.8
Automation Test Engineer,900000,3.3
Automation Tester,400000,3.9
Back-end Developer (Python Django),400000,4.3
Backend,2100000,2.8
Backend - Intern,288000,3.6
Backend Associate,120000,2.9
Backend Developer,4200000,1.0
Backend Developer - Contractor,1600000,4.0
Backend Developer - Intern,1188000,2.0
Backend Developer Contractor,1152000,3.2
"Backend Developer, NodeJs - Intern",180000,4.6
Backend Engineer,3400000,1.9
Backend Engineer (Python),600000,3.5
Backend Engineer - Intern,1000000,3.0
Backend Engineer Head,3600000,1.6
Backend Engineering,924000,4.2
Backend Engineering - Intern,288000,3.9
Backend Executive,336000,2.8
Backend Executive & Supporting Staff,96000,4.2
Backend Java Developer,500000,3.9
Backend Lead Developer,1300000,2.9
Backend Operation,144000,3.5
Backend Operations,588000,3.8
Backend Process,456000,2.6
Backend Process - Contractor,300000,3.9
Backend Software Developer,1700000,3.9
Backend Software Engineer,2300000,2.4
Backend Software Engineer - Intern,300000,4.2
Backend Software Engineer At Myntra,1700000,4.1
Backend Support,132000,4.1
Backend Support Executive,300000,3.8
Backend Web Developer,800000,3.8
Backend Web Developer - Intern,228000,3.6
Best Buy Mobile - Sales Consultant,500000,4.1
Best Buy Mobile Sales Associate,9600000,3.9
"C Developer, Python Developer",500000,3.7
C and Python Developer,216000,3.3
Chargeback Backend,200000,3.7
Clinical Database Programmer,2400000,3.9
Cloud Database Engineer,1500000,3.7
Consultant Database Administrator,2700000,4.3
Core Java Developer,708000,3.5
Csa Front End,324000,3.8
